item_name,total_qty
"Hakka Noodles",23
"Chole Bhature",20
"Hakka Noodles",19
"Gulab Jamun",19
"Masala Dosa",18
"Gulab Jamun",18
"Fried Rice",18
"Samosa Chaat",18
Momos,17
"Paneer Butter Masala",17
"Hakka Noodles",17
"Paneer Butter Masala",17
"Gulab Jamun",16
"Pav Bhaji",16
"Paneer Tikka",16
"Idli Sambar",16
"Aloo Paratha",16
"Fish Curry",15
"Fish Curry",15
"Chicken 65",15
"Aloo Paratha",15
"Chole Bhature",15
"Masala Dosa",15
"Gulab Jamun",15
"Hakka Noodles",15
"Chicken Biryani",15
"Veg Biryani",15
"Veg Biryani",15
"Paneer Butter Masala",15
"Masala Dosa",14
Momos,14
"Hakka Noodles",14
"Fried Rice",14
"Fish Curry",14
"Chicken 65",14
"Kadai Paneer",14
"Veg Biryani",14
"Paneer Tikka",14
"Fish Curry",14
"Masala Dosa",14
Momos,14
"Pav Bhaji",14
"Paneer Tikka",13
"Idli Sambar",13
"Dal Tadka",13
"Butter Chicken",13
"Chicken Biryani",13
"Hakka Noodles",13
"Fried Rice",13
"Chole Bhature",13
Momos,13
"Aloo Paratha",13
"Chicken Biryani",13
"Butter Chicken",13
"Fried Rice",13
Momos,13
"Hakka Noodles",13
"Samosa Chaat",13
"Pav Bhaji",13
Momos,13
"Idli Sambar",13
"Fish Curry",13
Momos,13
"Fish Curry",13
"Paneer Tikka",13
"Fish Curry",13
"Kadai Paneer",13
"Masala Dosa",13
"Butter Chicken",13
"Aloo Paratha",13
"Aloo Paratha",13
"Aloo Paratha",13
"Chicken Biryani",12
Rasgulla,12
"Paneer Tikka",12
"Fried Rice",12
"Aloo Paratha",12
"Paneer Tikka",12
Rasgulla,12
"Fish Curry",12
"Chicken 65",12
"Paneer Butter Masala",12
"Kadai Paneer",12
"Pav Bhaji",12
"Aloo Paratha",12
"Kadai Paneer",12
"Paneer Butter Masala",12
"Veg Biryani",12
"Gulab Jamun",12
"Fish Curry",12
Momos,12
"Chicken Biryani",12
"Pav Bhaji",12
"Aloo Paratha",12
"Hakka Noodles",12
"Paneer Tikka",12
"Fish Curry",12
"Gulab Jamun",12
"Chicken 65",12
"Idli Sambar",12
"Butter Chicken",11
"Dal Tadka",11
Rasgulla,11
"Aloo Paratha",11
"Samosa Chaat",11
"Fried Rice",11
"Fish Curry",11
"Aloo Paratha",11
Rasgulla,11
"Hakka Noodles",11
"Paneer Tikka",11
"Kadai Paneer",11
"Idli Sambar",11
"Chicken Biryani",11
"Butter Chicken",11
"Chicken Biryani",11
"Paneer Tikka",11
Momos,11
"Samosa Chaat",11
"Chicken Biryani",11
"Dal Tadka",11
"Chole Bhature",11
"Pav Bhaji",11
"Dal Tadka",11
"Idli Sambar",11
"Gulab Jamun",11
"Veg Biryani",11
"Paneer Butter Masala",11
Rasgulla,10
"Paneer Butter Masala",10
"Gulab Jamun",10
Rasgulla,10
"Kadai Paneer",10
"Chole Bhature",10
"Veg Biryani",10
"Fish Curry",10
"Pav Bhaji",10
"Paneer Tikka",10
"Fish Curry",10
Momos,10
Momos,10
"Dal Tadka",10
"Paneer Butter Masala",10
"Masala Dosa",10
"Fried Rice",10
"Paneer Tikka",10
"Masala Dosa",10
"Aloo Paratha",10
"Aloo Paratha",10
"Butter Chicken",10
"Paneer Butter Masala",10
"Idli Sambar",10
"Veg Biryani",10
"Idli Sambar",10
Momos,10
"Butter Chicken",10
"Gulab Jamun",9
"Chicken Biryani",9
"Gulab Jamun",9
"Fish Curry",9
"Hakka Noodles",9
"Paneer Tikka",9
"Dal Tadka",9
Momos,9
"Aloo Paratha",9
"Idli Sambar",9
"Chicken Biryani",9
"Chicken 65",9
"Dal Tadka",9
"Fried Rice",9
"Dal Tadka",9
Rasgulla,9
"Chicken 65",9
"Kadai Paneer",9
"Idli Sambar",9
"Dal Tadka",9
Rasgulla,9
"Masala Dosa",9
Rasgulla,9
"Pav Bhaji",9
"Veg Biryani",9
"Paneer Butter Masala",9
"Paneer Butter Masala",9
"Chole Bhature",9
"Samosa Chaat",8
Momos,8
"Samosa Chaat",8
"Pav Bhaji",8
"Paneer Butter Masala",8
"Samosa Chaat",8
Momos,8
"Gulab Jamun",8
"Chicken 65",8
Momos,8
"Butter Chicken",8
"Fish Curry",8
"Pav Bhaji",8
"Chole Bhature",8
"Chicken Biryani",8
"Paneer Butter Masala",8
"Hakka Noodles",8
"Dal Tadka",8
"Chole Bhature",8
"Chole Bhature",8
"Samosa Chaat",8
"Dal Tadka",8
"Fried Rice",8
"Paneer Tikka",8
Momos,8
"Fried Rice",8
"Gulab Jamun",8
"Hakka Noodles",8
"Masala Dosa",8
"Masala Dosa",8
"Veg Biryani",8
"Paneer Butter Masala",8
"Fish Curry",7
"Gulab Jamun",7
"Dal Tadka",7
"Paneer Tikka",7
"Chicken 65",7
"Hakka Noodles",7
"Gulab Jamun",7
"Fried Rice",7
"Aloo Paratha",7
"Fried Rice",7
"Samosa Chaat",7
"Chicken 65",7
"Paneer Tikka",7
"Dal Tadka",7
Rasgulla,7
"Paneer Tikka",7
Rasgulla,7
"Fish Curry",6
"Paneer Tikka",6
"Masala Dosa",6
"Dal Tadka",6
Momos,6
"Fish Curry",6
"Masala Dosa",6
"Aloo Paratha",6
"Paneer Butter Masala",6
"Kadai Paneer",6
"Samosa Chaat",6
"Fried Rice",6
"Masala Dosa",5
"Paneer Tikka",5
"Fish Curry",5
"Aloo Paratha",5
"Chicken Biryani",4
