restaurant_id,total_menu_items,restaurant_size_type
1,5,Medium
2,3,Small
3,5,Medium
4,2,Small
5,4,Small
6,6,Medium
7,5,Medium
8,4,Small
9,4,Small
10,6,Medium
11,3,Small
12,3,Small
13,3,Small
14,3,Small
15,7,Medium
16,6,Medium
17,2,Small
18,4,Small
19,1,Small
20,5,Medium
21,7,Medium
22,6,Medium
23,7,Medium
24,5,Medium
25,5,Medium
26,8,Medium
27,6,Medium
28,2,Small
29,2,Small
30,7,Medium
31,2,Small
32,2,Small
33,5,Medium
34,3,Small
35,10,Medium
36,9,Medium
37,5,Medium
38,4,Small
39,4,Small
40,4,Small
41,3,Small
42,4,Small
43,9,Medium
44,5,Medium
45,7,Medium
46,7,Medium
47,12,Large
48,6,Medium
49,7,Medium
50,6,Medium
